Date,BTC_Price,MVRV
2010-11-23 0:00,0.28295,3.340068573
2010-11-24 0:00,0.28299,3.280425816
2010-11-25 0:00,0.28,3.165979588
2010-11-26 0:00,0.2844,3.196878323
2010-11-27 0:00,0.283,3.121411918
2010-11-28 0:00,0.271081967,2.877992151
2010-11-29 0:00,0.23305,2.206347259
2010-11-30 0:00,0.2082,1.783766601
2010-12-01 0:00,0.2275,2.092385593
2010-12-02 0:00,0.255,2.510899098
2010-12-03 0:00,0.25105,2.421516027
2010-12-04 0:00,0.206,1.671783604
2010-12-05 0:00,0.195,1.481482553
2010-12-06 0:00,0.204,1.617462784
2010-12-07 0:00,0.2366,2.118409437
2010-12-08 0:00,0.2388,2.131365417
2010-12-09 0:00,0.192105,1.386426072
2010-12-10 0:00,0.20385,1.564880134
2010-12-11 0:00,0.228,1.932891079
2010-12-12 0:00,0.22,1.799158874
2010-12-13 0:00,0.2299,1.939883434
2010-12-14 0:00,0.24669,2.18718508
2010-12-15 0:00,0.24,2.059835902
2010-12-16 0:00,0.24996,2.195761345
2010-12-17 0:00,0.24,2.028770499
2010-12-18 0:00,0.241,2.028044591
2010-12-19 0:00,0.2401,1.999147919
2010-12-20 0:00,0.267,2.378315542
2010-12-21 0:00,0.24,1.940900486
2010-12-22 0:00,0.25,2.07619461
2010-12-23 0:00,0.2487525,2.045027492
2010-12-24 0:00,0.248,2.022586888
2010-12-25 0:00,0.2499,2.035553778
2010-12-26 0:00,0.265,2.241049097
2010-12-27 0:00,0.265,2.225398317
2010-12-28 0:00,0.281,2.436001753
2010-12-29 0:00,0.2998,2.664928567
2010-12-30 0:00,0.3,2.639540764
2010-12-31 0:00,0.3,2.614692246
2011-01-01 0:00,0.3,2.587963634
2011-01-02 0:00,0.29997,2.559241878
2011-01-03 0:00,0.295,2.468358371
2011-01-04 0:00,0.29895,2.504234689
2011-01-05 0:00,0.29892,2.482870053
2011-01-06 0:00,0.298,2.452506612
2011-01-07 0:00,0.32,2.721869823
2011-01-08 0:00,0.3229,2.730953218
2011-01-09 0:00,0.323,2.704572056
2011-01-10 0:00,0.32659,2.712663705
2011-01-11 0:00,0.32659,2.662750167
2011-01-12 0:00,0.3188,2.536165338
2011-01-13 0:00,0.3176,2.457547875
2011-01-14 0:00,0.4,3.449405298
2011-01-15 0:00,0.386,3.227805499
2011-01-16 0:00,0.38679,3.18273668
2011-01-17 0:00,0.3495,2.682599339
2011-01-18 0:00,0.31299,2.223220045
2011-01-19 0:00,0.31299,2.198674988
2011-01-20 0:00,0.39,3.092041183
2011-01-21 0:00,0.419905,3.403467909
2011-01-22 0:00,0.44399,3.630468485
2011-01-23 0:00,0.4424,3.539828943
2011-01-24 0:00,0.4199,3.229064514
2011-01-25 0:00,0.41,3.076989622
2011-01-26 0:00,0.41367,3.06707479
2011-01-27 0:00,0.4212,2.967344842
2011-01-28 0:00,0.446,3.077871082
2011-01-29 0:00,0.439,3.070138584
2011-01-30 0:00,0.47985,3.464780864
2011-01-31 0:00,0.5501,4.120511196
2011-02-01 0:00,0.70773,5.562988999
2011-02-02 0:00,0.716,5.412498151
2011-02-03 0:00,0.69639,5.053845944
2011-02-04 0:00,0.811,5.914965367
2011-02-05 0:00,0.90735,6.488816856
2011-02-06 0:00,0.8968,6.096679488
2011-02-07 0:00,0.89,5.725799673
2011-02-08 0:00,0.918,5.752950911
2011-02-09 0:00,1.084495,6.773114812
2011-02-10 0:00,0.975155,5.660452622
2011-02-11 0:00,1.070005,6.111587309
2011-02-12 0:00,1.0799,5.928232087
2011-02-13 0:00,1.05,5.499265824
2011-02-14 0:00,1.075336667,5.43153522
2011-02-15 0:00,1.05,5.073462641
2011-02-16 0:00,1.028624,4.769615356
2011-02-17 0:00,1.04,4.679307973
2011-02-18 0:00,0.8989,3.757718168
2011-02-19 0:00,0.94898,3.974180079
2011-02-20 0:00,0.85,3.365289719
2011-02-21 0:00,0.8345,3.232522942
2011-02-22 0:00,0.87023,3.529233075
2011-02-23 0:00,0.9,3.460444202
